user_id,event_name,event_timestamp,page_url,session_id
u001,page_view,2024-01-15 09:00:00,/home,s001
u001,signup,2024-01-15 09:02:00,/signup,s001
u001,page_view,2024-01-15 09:05:00,/dashboard,s001
u002,page_view,2024-01-15 10:30:00,/home,s002
u002,signup,2024-01-15 10:32:00,/signup,s002
u002,page_view,2024-01-15 10:35:00,/pricing,s002
u003,page_view,2024-01-16 08:00:00,/home,s003
u003,signup,2024-01-16 08:03:00,/signup,s003
u003,page_view,2024-01-16 08:10:00,/dashboard,s003
u003,button_click,2024-01-16 08:12:00,/dashboard,s003
u001,page_view,2024-01-16 14:00:00,/dashboard,s004
u001,button_click,2024-01-16 14:05:00,/dashboard,s004
u001,page_view,2024-01-16 14:10:00,/settings,s004
u004,page_view,2024-01-17 11:00:00,/home,s005
u004,signup,2024-01-17 11:02:00,/signup,s005
u005,page_view,2024-01-17 13:00:00,/home,s006
u005,signup,2024-01-17 13:05:00,/signup,s006
u005,page_view,2024-01-17 13:10:00,/pricing,s006
u005,button_click,2024-01-17 13:12:00,/pricing,s006
u002,page_view,2024-01-18 09:00:00,/dashboard,s007
u002,button_click,2024-01-18 09:05:00,/dashboard,s007
u003,page_view,2024-01-18 16:00:00,/settings,s008
u006,page_view,2024-01-19 10:00:00,/home,s009
u006,signup,2024-01-19 10:03:00,/signup,s009
